Title,Author,Sentiment,ticker,Source,Date
Cramer: Charts show why Tesla's stock could be set to rebound,CNBC,Positive,['TSLA'],CNBC,
Here's what Tesla investors should watch ahead of Elon Musk's faceoff with the SEC this week,CNBC Television,Neutral,['TSLA'],CNBC Television,
2 Key Technical Levels Tesla Investors Should Keep An Eye On,Benzinga,Negative,['TSLA'],Benzinga,
Driverless Cars' Biggest Obstacle May Be Us. Here's Why.,The Motley Fool,Neutral,"['GM', 'GOOG', 'GOOGL', 'LYFT', 'TSLA']",The Motley Fool,
Bear of the Day: Tesla (TSLA),Zacks Investment Research,Negative,['TSLA'],Zacks Investment Research,
U.S. Auto Sales: Slowdown,Investors Business Daily,Negative,"['F', 'FCAU', 'GM', 'HMC', 'NIO', 'NSANY', 'TM', 'TSLA']",Investors Business Daily,
"Judge may order Musk to step down as CEO, Oppenheimer analyst says",CNBC Television,Negative,['TSLA'],CNBC Television,
"Tesla's shipping challenges for Europe, China",Fox Business,Negative,['TSLA'],Fox Business,
Hackers have found a way to trick Tesla's autopilot,CNBC Television,Negative,['TSLA'],CNBC Television,
"Tesla Demand to Be a Lot Stronger in Second Half, Analyst Ives Says",Bloomberg Technology,Neutral,['TSLA'],Bloomberg Technology,"Mon, 01 Apr 2019 19:16:33 -0400"
Tesla Stock: Headed to $450?,The Motley Fool,Positive,['TSLA'],The Motley Fool,"Mon, 01 Apr 2019 19:10:00 -0400"
A Snapshot Of Tesla's 'S3XY' Models,Benzinga,Neutral,['TSLA'],Benzinga,"Mon, 01 Apr 2019 15:43:20 -0400"
Auto sales see slowdown for first time since 2014,CNBC Television,Negative,"['F', 'FCAU', 'GM', 'TM', 'TSLA']",CNBC Television,"Mon, 01 Apr 2019 14:39:30 -0400"
Tesla: Q1 Headwinds Could Create A Buying Opportunity,Seeking Alpha,Positive,['TSLA'],Seeking Alpha,"Mon, 01 Apr 2019 13:35:42 -0400"
5 Soft Reasons To Reconsider A Tesla Position,Seeking Alpha,Negative,['TSLA'],Seeking Alpha,"Mon, 01 Apr 2019 13:27:24 -0400"
Auto sales projected to slow to lowest level in 5 years despite SUV and pickup demand,CNBC,Negative,"['BMWYY', 'DMLRY', 'F', 'FCAU', 'GM', 'NSANY', 'RNLSY', 'TM', 'TSLA', 'VWAGY']",CNBC,"Mon, 01 Apr 2019 09:00:00 -0400"
Tesla's Vehicle Delivery Update: The Most Important Thing to Watch,The Motley Fool,Negative,['TSLA'],The Motley Fool,"Sun, 31 Mar 2019 14:06:00 -0400"
How Many Vehicles Will Tesla Deliver in Q1?,The Motley Fool,Neutral,['TSLA'],The Motley Fool,"Sat, 30 Mar 2019 11:05:00 -0400"
"Tesla cars keep more data than you think, including this video of a crash that totaled a Model 3",CNBC,Negative,['TSLA'],CNBC,"Fri, 29 Mar 2019 20:33:00 -0400"
"Tesla's price target, Model 3 expectations cut at Deutsche Bank",Market Watch,Negative,['TSLA'],Market Watch,"Fri, 29 Mar 2019 14:15:59 -0400"
JPMorgan Cuts Tesla Price Target After Meeting With Management,Benzinga,Negative,['TSLA'],Benzinga,"Fri, 29 Mar 2019 13:31:46 -0400"
J.P Morgan gets more bearish on Tesla's stock on concerns over Model 3 delivery delays,Market Watch,Negative,['TSLA'],Market Watch,"Fri, 29 Mar 2019 10:35:36 -0400"
Tesla's Growing GHG Credit Treasure Chest,Seeking Alpha,Positive,['TSLA'],Seeking Alpha,
Breaking Down China’s Electric Vehicle Market,Bloomberg Markets and Finance,Neutral,"['BMWYY', 'DMLRY', 'F', 'FCAU', 'GM', 'HMC', 'NOK', 'NSANY', 'TSLA', 'VWAGY']",Bloomberg Markets and Finance,
Elon Musks sends another letter to employees about store closings,Yahoo Finance,Positive,['TSLA'],Yahoo Finance,"Wed, 27 Mar 2019 17:24:56 -0400"
"Tesla's high-traffic stores will remain open, says Elon Musk",CNBC Television,Positive,['TSLA'],CNBC Television,"Wed, 27 Mar 2019 16:51:00 -0400"
Jim Cramer's Thoughts on Tesla,The Street,Negative,['TSLA'],The Street,"Wed, 27 Mar 2019 11:32:32 -0400"
"This court appearance might be a problem for Musk, says Jim Cramer",CNBC Television,Negative,['TSLA'],CNBC Television,"Wed, 27 Mar 2019 10:28:45 -0400"
"Final trades: Microsoft, Qualcomm, Apple, J.M. Smucker & short Tesla",CNBC Television,Neutral,"['AAPL', 'MSFT', 'QCOM', 'SJM', 'TSLA']",CNBC Television,"Wed, 27 Mar 2019 08:14:10 -0400"
Fisker wants another shot at Tesla with a new Model Y fighter,CNBC,Negative,['TSLA'],CNBC,"Wed, 27 Mar 2019 08:08:00 -0400"
Judge dismisses shareholder suit against Tesla,CNBC Television,Positive,['TSLA'],CNBC Television,
Top Manager Says Don't Touch Tesla,Forbes,Negative,['TSLA'],Forbes,
Tesla Shares Remain Under Pressure As The Negative News Flow Continues,Forbes,Neutral,['TSLA'],Forbes,
Tesla (TSLA) Dips More Than Broader Markets: What You Should Know,Zacks Investment Research,Negative,['TSLA'],Zacks Investment Research,"Mon, 25 Mar 2019 17:45:21 -0400"
Tesla: The Final Countdown,Seeking Alpha,Negative,['TSLA'],Seeking Alpha,"Mon, 25 Mar 2019 16:23:42 -0400"
"These 20-something hackers won $375,000 and a Model 3 for finding a Tesla bug",CNBC,Positive,['TSLA'],CNBC,"Mon, 25 Mar 2019 13:37:00 -0400"
Elon Musk tweets of Tesla price increase,Yahoo Finance,Positive,['TSLA'],Yahoo Finance,"Mon, 25 Mar 2019 11:40:18 -0400"
Tesla Stock Falls On Concerns Of Weakening Model 3 Demand,Investor,Negative,['TSLA'],Investor,"Mon, 25 Mar 2019 11:27:48 -0400"
A Pair Of Analysts Cut Tesla Price Targets Ahead Of Q1 Deliveries,Benzinga,Negative,['TSLA'],Benzinga,"Mon, 25 Mar 2019 09:32:52 -0400"
"Tesla analyst cuts Model 3 forecast, now sees bear market in stock ahead",CNBC,Negative,['TSLA'],CNBC,"Mon, 25 Mar 2019 07:09:00 -0400"
Tesla stock falls as concerns over softer sales increase after NYT report,Market Watch,Negative,['TSLA'],Market Watch,"Mon, 25 Mar 2019 05:49:15 -0400"
"Elon Musk touted a lenient return policy for Tesla, but customers should read the fine print",CNBC,Negative,['TSLA'],CNBC,"Sat, 23 Mar 2019 14:21:00 -0400"
3 Reasons Why Tesla Investors Should Ignore the Model Y Rollout,The Motley Fool,Negative,['TSLA'],The Motley Fool,"Sat, 23 Mar 2019 07:38:00 -0400"
Tesla accuses former employee of stealing company secrets to share with Chinese rival,Yahoo Finance,Negative,['TSLA'],Yahoo Finance,"Fri, 22 Mar 2019 14:30:40 -0400"
Cowen lowers Tesla price target to $180 and says Model 3 deliveries could be weaker than expected,CNBC,Negative,['TSLA'],CNBC,"Fri, 22 Mar 2019 14:06:00 -0400"
Elon Musk sends Tesla employees an email stressing deliveries,Yahoo Finance,Negative,['TSLA'],Yahoo Finance,"Fri, 22 Mar 2019 12:22:47 -0400"
How Tesla made electric cars sexy,CNN Business,Positive,['TSLA'],CNN Business,"Fri, 22 Mar 2019 12:02:48 -0400"
Jim Cramer on Tesla,TheStreet: Investing Strategies,Positive,['TSLA'],TheStreet: Investing Strategies,"Fri, 22 Mar 2019 11:41:00 -0400"
Elon Musk Vs. Jim Cramer: A History,Benzinga,Negative,['TSLA'],Benzinga,"Fri, 22 Mar 2019 11:40:08 -0400"
Tesla's price target lowered at Cowen on expectation of softer deliveries,Market Watch,Negative,['TSLA'],Market Watch,"Fri, 22 Mar 2019 11:31:06 -0400"
YouTube Staff Let Toxic Videos Run Rampant,Bloomberg Technology,Negative,"['GOOG', 'GOOGL']",Bloomberg Technology,
YouTube reportedly considered a change that would have made Alex Jones among its highest-paid stars,CNBC,Neutral,"['GOOG', 'GOOGL']",CNBC,
Walmart and Google team up for voice activated shopping,Yahoo Finance,Positive,"['GOOGL', 'WMT']",Yahoo Finance,
Walmart customers can now order groceries with voice commands,CNBC Television,Positive,"['GOOG', 'GOOGL', 'WMT']",CNBC Television,
Driverless Cars' Biggest Obstacle May Be Us. Here's Why.,The Motley Fool,Neutral,"['GM', 'GOOG', 'GOOGL', 'LYFT', 'TSLA']",The Motley Fool,
Trump meets with Google CEO Sundar Pichai to discuss ‘political fairness’,Fox Business,Positive,"['GOOG', 'GOOGL']",Fox Business,
"Google Updates Gmail, Bolsters E-mail Client Space Reach",Zacks Investment Research,Positive,"['GOOG', 'GOOGL']",Zacks Investment Research,
Outside the Box: 5 reasons why Google will dominate the next generation of gaming,Market Watch,Positive,"['GOOG', 'GOOGL']",Market Watch,
Walmart teams up with Google to offer voice-activated grocery shopping,CNBC,Positive,"['GOOG', 'GOOGL', 'WMT']",CNBC,
"3 Large-Cap Tech Stocks for Growth Investors to Buy: Alphabet, Inc.",Zacks Investment Research,Positive,"['GOOG', 'GOOGL']",Zacks Investment Research,"Mon, 01 Apr 2019 19:09:00 -0400"
Google Strengthens Presence in Cuba With ETECSA Team Up,Zacks Investment Research,Positive,"['GOOG', 'GOOGL']",Zacks Investment Research,"Mon, 01 Apr 2019 10:32:00 -0400"
YouTube could change forever thanks to new EU rules,CNN,Neutral,"['GOOG', 'GOOGL']",CNN,"Mon, 01 Apr 2019 10:21:23 -0400"
Gmail will do even more thinking for you with these 6 new features,Market Watch,Positive,"['GOOG', 'GOOGL']",Market Watch,"Mon, 01 Apr 2019 10:20:31 -0400"
3 Must-Own Cloud Stocks for the Next 10 Years: Google,The Motley Fool,Positive,"['GOOG', 'GOOGL']",The Motley Fool,"Sun, 31 Mar 2019 15:23:00 -0400"
Better Buy: Baidu vs. Alphabet,The Motley Fool,Neutral,"['BIDU', 'GOOG', 'GOOGL']",The Motley Fool,"Sat, 30 Mar 2019 13:48:32 -0400"
Here's Why Amazon and Google Could Dominate Home Security,The Motley Fool,Positive,"['AMZN', 'GOOG', 'GOOGL']",The Motley Fool,"Sat, 30 Mar 2019 13:33:38 -0400"
Alphabet: 3 Reasons Why You Should Still Buy The Stock,Seeking Alpha,Positive,"['GOOG', 'GOOGL']",Seeking Alpha,"Sat, 30 Mar 2019 07:00:13 -0400"
Alphabet Gains But Lags Market: What You Should Know,Zacks Investment Research,Positive,"['GOOG', 'GOOGL']",Zacks Investment Research,"Fri, 29 Mar 2019 17:50:09 -0400"
Google parent company Alphabet has more than doubled its money on Lyft in just 17 months,CNBC,Positive,['GOOGL'],CNBC,"Fri, 29 Mar 2019 17:40:00 -0400"
Why Mega-Cap FANG Tech Leaders May Be Offering Investors Incredible Value: Alphabet,24/7 Wall Street,Positive,"['GOOG', 'GOOGL']",24/7 Wall Street,"Fri, 29 Mar 2019 14:57:01 -0400"
Google removes anti-gay app that promoted conversion therapy after backlash,CNBC,Neutral,"['GOOG', 'GOOGL']",CNBC,"Fri, 29 Mar 2019 12:47:00 -0400"
Tech dominates list of most valuable US brands,Fox Business,Positive,"['DIS', 'FB', 'FOX', 'GOOGL', 'HD', 'MSFT', 'NFLX', 'T', 'VZ', 'WMT', 'AMZN']",Fox Business,"Fri, 29 Mar 2019 11:49:22 -0400"
"What Europe's copyright overhaul means for YouTube, Facebook and the way you use the internet",CNBC,Negative,"['FB', 'GOOG', 'GOOGL']",CNBC,"Fri, 29 Mar 2019 06:01:00 -0400"
"HUD looking into Twitter, Google ad targeting practices",CNBC Television,Neutral,"['GOOG', 'GOOGL', 'TWTR']",CNBC Television,
"Big tech has achieved mass accumulation of power, says Arizona AG",CNBC Television,Negative,"['AMZN', 'FB', 'GOOG', 'GOOGL', 'NFLX']",CNBC Television,
What Are FAANG Stocks?,The Motley Fool,Neutral,"['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'NFLX']",The Motley Fool,
Google and Facebook got tricked out of $123 million by a common scam that targets small businesses,CNBC,Negative,"['GOOG', 'GOOGL']",CNBC,
Expert: Facebook and Google under the most regulatory pressure 'and they should be',CNBC Television,Negative,"['FB', 'GOOG', 'GOOGL']",CNBC Television,
Europe's big tech fines: Google,CNBC Television,Negative,"['GOOG', 'GOOGL']",CNBC Television,
'Mr. Google' Goes To Washington To Chat With Trump,Benzinga,Positive,"['GOOG', 'GOOGL']",Benzinga,
"Google, GM and other corporate giants form alliance to create a boom in US clean energy",CNBC,Positive,"['GM', 'GOOG', 'GOOGL', 'WMT']",CNBC,
Alphabet-backed Clover Health is cutting tech jobs after realizing it needs more health-care experts,CNBC,Positive,"['GOOG', 'GOOGL']",CNBC,"Wed, 27 Mar 2019 19:37:00 -0400"
Google: Pleased to have productive conversations with Trump,CNBC Television,Positive,"['GOOG', 'GOOGL']",CNBC Television,"Wed, 27 Mar 2019 16:56:38 -0400"
Trump meets with Google CEO Sundar Pichai,CNBC Television,Neutral,['GOOGL'],CNBC Television,"Wed, 27 Mar 2019 16:27:25 -0400"
"Final trades: Morgan Stanley, Alphabet, Conagra, & Chipotle",CNBC Television,Positive,"['CAG', 'CMG', 'GOOG', 'GOOGL', 'MS']",CNBC Television,"Wed, 27 Mar 2019 13:55:26 -0400"
EU deals major blow to big tech,Fox Business,Negative,"['FB', 'GOOG', 'GOOGL']",Fox Business,"Wed, 27 Mar 2019 12:55:57 -0400"
5 Non-Advertising Growth Areas For Google,Seeking Alpha,Neutral,"['GOOG', 'GOOGL']",Seeking Alpha,"Wed, 27 Mar 2019 12:49:29 -0400"
How this scammer used phishing emails to steal over $100 million from Google and Facebook,CNBC,Neutral,"['FB', 'GOOG', 'GOOGL']",CNBC,"Wed, 27 Mar 2019 12:34:00 -0400"
Google CEO to meet with general who said the company is 'indirectly benefiting the Chinese military',CNBC,Positive,"['GOOG', 'GOOGL']",CNBC,"Wed, 27 Mar 2019 09:34:00 -0400"
"Project Syndicate: Big Tech, after years of manipulating us, is now being surveilled",Market Watch,Negative,"['GOOG', 'GOOGL']",Market Watch,"Wed, 27 Mar 2019 04:12:39 -0400"
Alphabet Earnings: Mark Your Calendar,The Motley Fool,Positive,"['GOOG', 'GOOGL']",The Motley Fool,
Google is getting back into robotics after its last attempt fizzled out,CNBC,Positive,"['GOOG', 'GOOGL']",CNBC,
Google Aims To Be The Netflix Of Gaming - Here's Why You Should Care,Seeking Alpha,Positive,"['GOOG', 'GOOGL']",Seeking Alpha,"Mon, 25 Mar 2019 16:59:50 -0400"
False Alarm: Facebook and Google Didn't Lose Market Share in 2018,The Motley Fool,Positive,"['FB', 'GOOG', 'GOOGL']",The Motley Fool,"Mon, 25 Mar 2019 15:00:00 -0400"
Google to Boost Reach in Online Payment Space With eBay Deal,Zacks Investment Research,Positive,"['GOOG', 'GOOGL']",Zacks Investment Research,"Mon, 25 Mar 2019 09:58:00 -0400"
Google Stadia might have a different goal than you think,CNET,Neutral,"['GOOG', 'GOOGL']",CNET,"Sat, 23 Mar 2019 09:00:11 -0400"
3 Top Driverless Car Stocks to Watch in March: Alphabet,The Motley Fool,Positive,"['GOOG', 'GOOGL']",The Motley Fool,"Fri, 22 Mar 2019 16:00:00 -0400"
Google Stadia: Lower your expectations,Engadget,Negative,['GOOGL'],Engadget,"Fri, 22 Mar 2019 15:53:18 -0400"
"Final Trades: Verizon, XPO, Pfizer, Alphabet and BB&T",CNBC Television,Positive,"['BBT', 'GOOGL', 'PFE', 'VZ', 'XPO', 'GOOG']",CNBC Television,"Fri, 22 Mar 2019 13:32:58 -0400"
Make music that sounds like Bach with Google's first-ever A.I.-powered Google Doodle,CNBC,Positive,"['GOOG', 'GOOGL']",CNBC,"Fri, 22 Mar 2019 12:46:00 -0400"
Oscar host receives letter from DOJ warning about proposed rule change,CNBC Television,Positive,['NFLX'],CNBC Television,
Justice Department reportedly warns Academy against blocking Netflix at the Oscars,Market Watch,Positive,['NFLX'],Market Watch,
The Ratings Game: Netflix’s stock now a ‘top pick’ at J.P. Morgan,Market Watch,Positive,['NFLX'],Market Watch,
Netflix: Rapid Margin Expansion Being Masked By Marketing Investments,Seeking Alpha,Positive,['NFLX'],Seeking Alpha,
Netflix is underperforming and JP Morgan calls it a good buying opportunity,CNBC,Positive,['NFLX'],CNBC,
Why Netflix Could Beat Earnings Estimates Again,Zacks Investment Research,Positive,['NFLX'],Zacks Investment Research,"Mon, 01 Apr 2019 10:10:17 -0400"
Here is Why Both Apple TV+ & Disney+ Should Bother Netflix,Zacks Investment Research,Negative,['NFLX'],Zacks Investment Research,"Mon, 01 Apr 2019 08:49:00 -0400"
Disney World's Top Rival Is Already Thinking About Halloween,The Motley Fool,Positive,"['CMCSA', 'NFLX']",The Motley Fool,"Sun, 31 Mar 2019 11:47:30 -0400"
Better Buy: Disney vs. Netflix,The Motley Fool,Neutral,['NFLX'],The Motley Fool,"Fri, 29 Mar 2019 21:00:00 -0400"
"Netflix Q1 Earnings Preview: International Sales, Subscribers &amp; More",Zacks Investment Research,Positive,['NFLX'],Zacks Investment Research,"Fri, 29 Mar 2019 17:24:00 -0400"
"Netflix, Amazon leading to messier breakups?",Fox Business,Neutral,['NFLX'],Fox Business,"Fri, 29 Mar 2019 13:15:45 -0400"
Tech dominates list of most valuable US brands,Fox Business,Positive,"['DIS', 'FB', 'FOX', 'GOOGL', 'HD', 'MSFT', 'NFLX', 'T', 'VZ', 'WMT', 'AMZN']",Fox Business,"Fri, 29 Mar 2019 11:49:22 -0400"
Why Apple And Netflix Are Feeling The Streaming TV Sting,Seeking Alpha,Positive,"['AAPL', 'NFLX']",Seeking Alpha,"Fri, 29 Mar 2019 09:46:12 -0400"
"Big tech has achieved mass accumulation of power, says Arizona AG",CNBC Television,Negative,"['AMZN', 'FB', 'GOOG', 'GOOGL', 'NFLX']",CNBC Television,
What Are FAANG Stocks?,The Motley Fool,Neutral,"['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'NFLX']",The Motley Fool,
Netflix's Plan to Win in India: Lower Prices,The Motley Fool,Positive,['NFLX'],The Motley Fool,
It's Disney -- Not Apple -- That Netflix Has to Worry About Now,The Motley Fool,Neutral,"['AAPL', 'DIS', 'NFLX']",The Motley Fool,
A Closer Look At Netflix's Valuation,Forbes,Positive,['NFLX'],Forbes,
Netflix: A Once-In-A-Generation Short Opportunity,Seeking Alpha,Negative,['NFLX'],Seeking Alpha,
"Netflix's stock rallies, erasing previous losses after Apple announces rival streaming",Market Watch,Positive,['NFLX'],Market Watch,"Mon, 25 Mar 2019 14:15:37 -0400"
Apple to take on Netflix?,Fox Business,Neutral,"['AAPL', 'NFLX']",Fox Business,"Mon, 25 Mar 2019 06:52:49 -0400"
Netflix By The Numbers,Benzinga,Positive,['NFLX'],Benzinga,"Sun, 24 Mar 2019 17:14:47 -0400"
Almost Nobody Chooses Streaming Competitors Over Netflix,The Motley Fool,Positive,['NFLX'],The Motley Fool,"Sat, 23 Mar 2019 07:16:00 -0400"
"Netflix probably has too much of a head start on Apple, says analyst",CNBC Television,Positive,['NFLX'],CNBC Television,"Fri, 22 Mar 2019 12:32:17 -0400"
Everything coming to Netflix in April — and what’s leaving,Market Watch,Positive,['NFLX'],Market Watch,
Netflix: Competition Is Welcome,Seeking Alpha,Positive,['NFLX'],Seeking Alpha,
Trading F.A.A.N.G.: 4 buys,CNBC Television,Positive,"['AMZN', 'FB', 'GOOG', 'GOOGL', 'NFLX']",CNBC Television,
Netflix Doesn't Have to Worry About Apple -- Yet,The Motley Fool,Positive,['NFLX'],The Motley Fool,
The Netflix Model Of Board Transparency: Is It Right For Your Company?,Forbes,Positive,['NFLX'],Forbes,
"Streaming content battle 'could get messy', says expert",CNBC Television,Neutral,"['AAPL', 'DIS', 'FOX', 'NFLX', 'FOXA']",CNBC Television,"Wed, 20 Mar 2019 13:02:35 -0400"
4 Reasons RBC Continues To Love Netflix's Stock,Benzinga,Positive,['NFLX'],Benzinga,"Wed, 20 Mar 2019 11:52:59 -0400"
"Netflix drops 'Stranger Things' season 3 trailer, teasing new monster, more '80s nostaglia",CNBC,Positive,['NFLX'],CNBC,"Wed, 20 Mar 2019 11:00:00 -0400"
"Netflix just dropped the ‘Stranger Things’ Season 3 trailer, and it’s already been watched 3.1 million times",Market Watch,Positive,['NFLX'],Market Watch,"Wed, 20 Mar 2019 10:24:56 -0400"
"As Apple enters the streaming wars, will Netflix be dethroned?",CNBC Television,Negative,"['AAPL', 'NFLX']",CNBC Television,
Netflix Execs Welcome Competition From Apple While Throwing a Little Shade,The Motley Fool,Negative,['NFLX'],The Motley Fool,
"Final trades: CVS Health, Facebook, Netflix, & a Mexico play",CNBC Television,Neutral,"['CVS', 'EWW', 'FB', 'NFLX']",CNBC Television,
Netflix says it will not join Apple TV service,CNBC,Negative,['NFLX'],CNBC,
"Apple streaming service won't offer Netflix subscription, Hastings says",Market Watch,Negative,"['AAPL', 'NFLX']",Market Watch,
Netflix CEO Says Company Decided 'Not To Integrate' With Apple,Benzinga,Negative,['NFLX'],Benzinga,
Calls to Break Up FAANG -- Except This One,The Motley Fool,Negative,"['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'NFLX']",The Motley Fool,
How Disney is taking on Netflix,CNBC Television,Neutral,"['DIS', 'FOXA', 'NFLX']",CNBC Television,
"Netflix CEO breaks with big tech, says his firm is actually a media company",CNBC,Positive,['NFLX'],CNBC,
The FAANG Trade In Focus Again,Seeking Alpha,Positive,"['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'NFLX']",Seeking Alpha,"Mon, 18 Mar 2019 16:03:10 -0400"
"Steven Spielberg reportedly met with Netflix's Ted Sarandos, sparking hopes for an Oscars' truce",CNBC,Positive,['NFLX'],CNBC,"Fri, 15 Mar 2019 15:20:43 -0400"
Traders debate Morgan Stanley's stock picks for 2019,CNBC Television,Neutral,"['AMZN', 'BAC', 'CSCO', 'GOOGL', 'HD', 'MCD', 'MSFT', 'NFLX', 'NKE', 'V', 'WMT']",CNBC Television,"Fri, 15 Mar 2019 14:33:06 -0400"
Tech stocks bounce back as Dow rises 200 points,CNBC Television,Neutral,"['AAPL', 'ACWX', 'AMZN', 'FB', 'GOOGL', 'MSFT', 'NFLX', 'XLK', 'XLU']",CNBC Television,"Fri, 15 Mar 2019 13:22:16 -0400"
Better Buy: Netflix vs. Amazon,The Motley Fool,Neutral,"['AMZN', 'NFLX']",The Motley Fool,"Fri, 15 Mar 2019 12:41:56 -0400"
"If you missed the run up in tech, these are the two names to play for a catch-up: Apple & Netflix",CNBC Television,Positive,"['AAPL', 'NFLX']",CNBC Television,"Fri, 15 Mar 2019 00:04:13 -0400"
The Average U.S. Millennial Watches More Netflix Than TV,The Motley Fool,Positive,['NFLX'],The Motley Fool,
How Does Netflix Make Money?,The Motley Fool,Neutral,['NFLX'],The Motley Fool,
